country,year,control_of_corruption,current_account_balance_pct_gdp,export_concentration_hhi,export_growth,external_debt_pct_gni,fdi_net_inflows_pct_gdp,gdp_growth,gdp_per_capita,gdp_per_capita_growth,global_gold_price,global_high_yield_spread,global_oil_price,global_usd_index,government_debt_pct,gross_capital_formation_pct_gdp,inflation_cpi,natural_resource_rents_pct_gdp,political_stability,regulatory_quality,rule_of_law,secondary_school_enrolment,vulnerable_employment,youth_unemployment
ABW,2010,1.0319006,-18.737,0.392,,,7.61167220218675,-2.73345679250639,24093.1401510626,-2.95695264975568,119.99545832174232,,79.48,93.0541,54.662,28.2831797071863,-0.723,0.0038701376130974,1.2560673,78.0222415,1.4158901,98.2207412719727,,
ABW,2011,1.0309026,-10.02,0.811,,,18.5057800383246,3.36923718421511,25712.3843015186,2.61052505937265,153.18591263180687,,94.88,88.7767,59.347,27.4166371579459,6.127,0.0038097706043249,1.251139,78.0299915,1.3475874,96.633918762207,,
ABW,2012,1.0288289,3.602,0.629,,,-12.0331802180755,-1.04079988436683,25119.6655449838,-2.4846479774957,161.96787185362544,,94.05,91.6361,65.533,23.5225068320821,-3.713,0.0034077558555067,1.3159088,77.9453037,1.3458678,108.976188659668,,
ABW,2013,1.0289865,-11.957,0.512,,,9.97445713517423,6.43146080719245,25813.5714408438,4.85525795729174,136.24820703149317,,97.98,92.7611,70.032,23.825859897396,0.076,0.0024516533160762,1.3143193,77.9327513,1.3420243,,,
ABW,2014,0.8949794,-4.797,0.471,,,7.46525460335849,1.42609864257801,26129.8390617693,0.35112842842166,121.88517901052042,,93.17,95.5876,77.709,23.1114410000278,2.202,0.0032351716185251,1.2105482,74.4849705,1.0095673,,,
ABW,2015,1.1609441,3.881,0.403,,,-0.907264375161604,3.61147995361162,27458.2201537506,2.55621874043514,111.18462156014614,,48.66,108.1696,74.177,21.538867068293,-0.929,0.0023876594444871,1.209329,76.2748091,1.2928771,,,
ABW,2016,1.1622716,4.557,0.402,,,0.923397287531133,1.23433537363427,27441.5502144601,0.469912651203259,119.36261924864752,,43.29,113.0665,75.387,20.5749571545811,-0.874,0.0033437423337293,1.2062931,76.2934998,1.2931593,,,
ABW,2017,1.1613218,0.959,0.341,,,5.2533752062728,3.49342985290626,28440.0416881491,3.48581549286742,119.70533874025382,,50.8,112.8101,75.825,20.5511714864529,-0.462,0.0028271906386295,1.2066651,74.8303646,1.2924687,,,
ABW,2018,1.1629372,-0.53,0.205,,,4.39981717177271,3.21247111920076,30082.1584226798,3.0485184481057,120.1730401916504,,65.23,112.0038,73.31,22.4017184437014,4.452,0.0018846916867828,1.3341522,70.3897634,1.2931496,137.829788208008,,
ABW,2019,1.1651628,0.194,0.368,,,-2.2478342012416,1.22511225158814,30645.8906024548,0.951663645650427,131.4715934540646,,56.99,115.7333,72.227,22.6154511785237,3.579,0.0016801157710481,1.3349374,70.4118087,1.2930625,139.320587158203,,
