country,country_name,year,rao_score,base_rao_score,regime,regime_label,tos_score,tos_signal_label,sis_score,dgi_score,rvs_score,pillar_a,pillar_b,pillar_c,pillar_d,cvar25,volatility_band,event_adjustment,anomaly_flag,anomaly_haircut_applied,archetype,data_confidence,imputed_vars,gdelt_active,rao_score_pre_overlay,overlay_adjustment,trajectory_classification,trajectory_discount,trajectory_reason,universe_flag,universe_flag_severity,universe_flag_description,requires_disclosure,market_size_bonus
DNK,DNK,2024,8.115,9.521,FO,Fragile Opportunity,0.459,Moderate Potential,0.25,0.582,0.705,0.589,0.802,0.772,0.549,0.947,0.126,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,7.264,0.851,structural,1.0,"Trajectory supported by governance data (RVS=0.705, Pillar B=0.802)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.851
CHN,China,2024,8.055,8.31,RO,Robust Opportunity,0.482,Moderate Potential,0.545,0.478,0.421,0.632,0.535,0.608,0.38,0.812,0.061,0.0,True,True,High-Growth Emerging Market,HIGH,export_growth; secondary_school_enrolment,False,6.62,1.435,structural,1.0,"Trajectory supported by governance data (RVS=0.421, Pillar B=0.535)  classified as structural",clean,N/A,No universe integrity issues detected.,False,1.435
USA,USA,2024,7.866,8.329,RO,Robust Opportunity,0.408,Moderate Potential,0.25,0.503,0.566,0.486,0.518,0.752,0.485,0.814,0.057,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.366,1.5,structural,1.0,"Trajectory supported by governance data (RVS=0.566, Pillar B=0.518)  classified as structural",clean,N/A,No universe integrity issues detected.,False,1.5
IRL,IRL,2024,7.849,8.965,FO,Fragile Opportunity,0.465,Moderate Potential,0.25,0.532,0.821,0.525,0.788,0.731,0.46,0.885,0.15,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.954,0.895,structural,1.0,"Trajectory supported by governance data (RVS=0.821, Pillar B=0.788)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.895
KOR,KOR,2024,7.835,8.882,FO,Fragile Opportunity,0.423,Moderate Potential,0.25,0.489,0.663,0.558,0.721,0.747,0.38,0.876,0.125,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.754,1.081,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.721) and flat trajectory (Pillar D=0.380)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,1.081
LTU,LTU,2024,7.643,8.809,FO,Fragile Opportunity,0.472,Moderate Potential,0.25,0.503,0.918,0.502,0.743,0.727,0.492,0.868,0.136,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.884,0.759,structural,1.0,"Trajectory supported by governance data (RVS=0.918, Pillar B=0.743)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.759
CHE,CHE,2024,7.635,8.674,FO,Fragile Opportunity,0.433,Moderate Potential,0.25,0.602,0.558,0.483,0.776,0.715,0.494,0.853,0.154,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.662,0.973,structural,1.0,"Trajectory supported by governance data (RVS=0.558, Pillar B=0.776)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.973
SGP,SGP,2024,7.581,9.108,RO,Robust Opportunity,0.369,Low Takeoff Signal,0.25,0.368,0.582,0.603,0.635,0.789,0.38,0.901,0.073,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.692,0.889,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.635) and flat trajectory (Pillar D=0.380)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,0.889
JPN,JPN,2024,7.571,8.265,RO,Robust Opportunity,0.42,Moderate Potential,0.25,0.481,0.659,0.494,0.606,0.744,0.381,0.807,0.092,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.373,1.198,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.606) and flat trajectory (Pillar D=0.381)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,1.198
CZE,CZE,2024,7.495,8.66,FO,Fragile Opportunity,0.44,Moderate Potential,0.25,0.474,0.782,0.511,0.734,0.718,0.429,0.851,0.136,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.681,0.814,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.734) and flat trajectory (Pillar D=0.429)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,0.814
