country,country_name,year,rao_score,base_rao_score,regime,regime_label,tos_score,tos_signal_label,sis_score,dgi_score,rvs_score,pillar_a,pillar_b,pillar_c,pillar_d,cvar25,volatility_band,event_adjustment,anomaly_flag,anomaly_haircut_applied,archetype,data_confidence,imputed_vars,gdelt_active,rao_score_pre_overlay,overlay_adjustment,trajectory_classification,trajectory_discount,trajectory_reason,universe_flag,universe_flag_severity,universe_flag_description,requires_disclosure,market_size_bonus
POL,POL,2024,7.416,8.371,RO,Robust Opportunity,0.421,Moderate Potential,0.25,0.461,0.699,0.482,0.654,0.739,0.419,0.819,0.11,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.44,0.976,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.654) and flat trajectory (Pillar D=0.419)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,0.976
VNM,Vietnam,2024,7.348,8.529,RO,Robust Opportunity,0.408,Moderate Potential,0.2,0.563,0.644,0.662,0.625,0.549,0.47,0.837,0.093,0.0,True,True,High-Growth Emerging Market,HIGH,,False,6.486,0.862,structural,1.0,"Trajectory supported by governance data (RVS=0.644, Pillar B=0.625)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.862
ARE,ARE,2024,7.333,7.897,FO,Fragile Opportunity,0.505,Moderate Potential,0.25,0.612,0.917,0.602,0.758,0.449,0.594,0.766,0.177,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.456,0.877,structural,1.0,"Trajectory supported by governance data (RVS=0.917, Pillar B=0.758)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.877
SVN,SVN,2024,7.28,8.593,RO,Robust Opportunity,0.46,Moderate Potential,0.25,0.532,0.79,0.494,0.663,0.713,0.527,0.844,0.11,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.711,0.569,structural,1.0,"Trajectory supported by governance data (RVS=0.790, Pillar B=0.663)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.569
IDN,Indonesia,2024,7.225,7.949,RO,Robust Opportunity,0.424,Moderate Potential,0.2,0.611,0.665,0.627,0.524,0.528,0.536,0.772,0.079,0.0,True,True,High-Growth Emerging Market,HIGH,,False,6.195,1.03,structural,1.0,"Trajectory supported by governance data (RVS=0.665, Pillar B=0.524)  classified as structural",clean,N/A,No universe integrity issues detected.,False,1.03
HRV,HRV,2024,7.218,8.705,RO,Robust Opportunity,0.409,Moderate Potential,0.2,0.542,0.681,0.558,0.599,0.682,0.494,0.856,0.077,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.597,0.621,structural,1.0,"Trajectory supported by governance data (RVS=0.681, Pillar B=0.599)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.621
NLD,NLD,2024,7.179,8.685,FO,Fragile Opportunity,0.294,Low Takeoff Signal,0.25,0.52,0.183,0.485,0.775,0.717,0.485,0.854,0.155,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.17,1.009,structural,1.0,"Trajectory supported by governance data (RVS=0.183, Pillar B=0.775)  classified as structural",clean,N/A,No universe integrity issues detected.,False,1.009
CRI,CRI,2024,7.178,8.609,FO,Fragile Opportunity,0.416,Moderate Potential,0.2,0.575,0.669,0.536,0.666,0.634,0.637,0.846,0.125,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.562,0.616,structural,1.0,"Trajectory supported by governance data (RVS=0.669, Pillar B=0.666)  classified as structural",market_depth_limited,MEDIUM,(CRI) scores highly on fundamentals but has limited market depth for institutional capital deployment. Score reflects structural quality; investors should apply position size constraints and verify market access before allocation.,True,0.616
DEU,DEU,2024,7.081,7.512,FO,Fragile Opportunity,0.403,Reform Story,0.25,0.426,0.659,0.425,0.668,0.7,0.39,0.724,0.136,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.858,1.223,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.668) and flat trajectory (Pillar D=0.390)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,1.223
DOM,DOM,2024,7.051,8.053,RO,Robust Opportunity,0.462,Moderate Potential,0.2,0.594,0.918,0.527,0.55,0.621,0.588,0.784,0.093,0.0,True,True,Diversified Emerging Market,HIGH,,False,6.396,0.655,structural,1.0,"Trajectory supported by governance data (RVS=0.918, Pillar B=0.550)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.655
PHL,Philippines,2024,7.051,7.817,RO,Robust Opportunity,0.444,Moderate Potential,0.2,0.568,0.844,0.512,0.447,0.666,0.54,0.757,0.055,0.0,True,True,High-Growth Emerging Market,HIGH,,False,6.189,0.862,structural,1.0,"Trajectory supported by governance data (RVS=0.844, Pillar B=0.447)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.862
ESP,ESP,2024,7.023,7.875,RO,Robust Opportunity,0.447,Moderate Potential,0.25,0.605,0.62,0.542,0.582,0.565,0.604,0.764,0.112,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.235,0.788,structural,1.0,"Trajectory supported by governance data (RVS=0.620, Pillar B=0.582)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.788
NOR,NOR,2024,6.986,8.366,FO,Fragile Opportunity,0.337,Low Takeoff Signal,0.25,0.49,0.308,0.553,0.789,0.606,0.411,0.818,0.169,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.132,0.854,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.789) and flat trajectory (Pillar D=0.411)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,0.854
MYS,Malaysia,2024,6.953,7.976,RO,Robust Opportunity,0.397,Low Takeoff Signal,0.2,0.505,0.669,0.489,0.611,0.654,0.49,0.775,0.104,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.115,0.838,structural,1.0,"Trajectory supported by governance data (RVS=0.669, Pillar B=0.611)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.838
CYP,CYP,2024,6.912,7.991,RO,Robust Opportunity,0.475,Moderate Potential,0.25,0.762,0.579,0.438,0.593,0.723,0.555,0.777,0.105,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.404,0.508,structural,1.0,"Trajectory supported by governance data (RVS=0.579, Pillar B=0.593)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.508
BGR,BGR,2024,6.901,8.067,RO,Robust Opportunity,0.417,Moderate Potential,0.2,0.473,0.848,0.474,0.592,0.711,0.444,0.785,0.09,0.0,True,True,Diversified Emerging Market,HIGH,,False,6.242,0.659,structural,1.0,"Trajectory supported by governance data (RVS=0.848, Pillar B=0.592)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.659
AUS,AUS,2024,6.899,7.689,FO,Fragile Opportunity,0.367,Low Takeoff Signal,0.25,0.517,0.386,0.558,0.691,0.518,0.466,0.743,0.142,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.836,1.063,structural,1.0,"Trajectory supported by governance data (RVS=0.386, Pillar B=0.691)  classified as structural",clean,N/A,No universe integrity issues detected.,False,1.063
ISL,ISL,2024,6.863,8.525,RO,Robust Opportunity,0.388,Low Takeoff Signal,0.25,0.537,0.445,0.514,0.667,0.671,0.532,0.836,0.115,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.413,0.45,structural,1.0,"Trajectory supported by governance data (RVS=0.445, Pillar B=0.667)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.45
SWE,SWE,2024,6.83,8.159,FO,Fragile Opportunity,0.316,Low Takeoff Signal,0.25,0.476,0.258,0.561,0.771,0.578,0.4,0.795,0.166,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.934,0.896,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.771) and flat trajectory (Pillar D=0.400)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,0.896
ITA,ITA,2024,6.782,7.249,RO,Robust Opportunity,0.479,Moderate Potential,0.25,0.566,0.842,0.46,0.546,0.605,0.584,0.694,0.111,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.974,0.808,structural,1.0,"Trajectory supported by governance data (RVS=0.842, Pillar B=0.546)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.808
THA,Thailand,2024,6.779,6.997,RO,Robust Opportunity,0.5,Moderate Potential,0.35,0.554,0.671,0.48,0.496,0.579,0.573,0.666,0.097,0.0,True,True,High-Growth Emerging Market,HIGH,,False,5.897,0.882,structural,1.0,"Trajectory supported by governance data (RVS=0.671, Pillar B=0.496)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.882
LVA,LVA,2024,6.764,7.714,FO,Fragile Opportunity,0.42,Moderate Potential,0.2,0.451,0.918,0.441,0.664,0.689,0.422,0.746,0.131,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.04,0.724,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.664) and flat trajectory (Pillar D=0.422)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,0.724
KHM,KHM,2024,6.709,7.207,RO,Robust Opportunity,0.551,Pre-Breakout Signal,0.35,0.561,0.914,0.582,0.488,0.506,0.534,0.69,0.083,0.0,True,True,High-Growth Emerging Market,HIGH,,False,6.206,0.503,structural,1.0,"Trajectory supported by governance data (RVS=0.914, Pillar B=0.488)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.503
FIN,FIN,2024,6.707,7.914,FO,Fragile Opportunity,0.351,Low Takeoff Signal,0.25,0.436,0.406,0.521,0.673,0.629,0.38,0.768,0.129,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.914,0.793,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.673) and flat trajectory (Pillar D=0.380)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,0.793
TUR,Trkiye,2024,6.697,7.982,RO,Robust Opportunity,0.272,Low Takeoff Signal,0.2,0.488,0.196,0.62,0.472,0.592,0.38,0.776,0.04,0.0,True,True,High-Growth Emerging Market,HIGH,,False,5.667,1.03,structural,1.0,"Trajectory supported by governance data (RVS=0.196, Pillar B=0.472)  classified as structural",clean,N/A,No universe integrity issues detected.,False,1.03
AUT,AUT,2024,6.694,7.632,FO,Fragile Opportunity,0.37,Low Takeoff Signal,0.25,0.45,0.466,0.45,0.651,0.664,0.433,0.737,0.127,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.811,0.883,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.651) and flat trajectory (Pillar D=0.433)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,0.883
GBR,GBR,2024,6.673,7.375,RO,Robust Opportunity,0.325,Low Takeoff Signal,0.25,0.424,0.322,0.459,0.579,0.669,0.38,0.708,0.1,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.493,1.18,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.579) and flat trajectory (Pillar D=0.380)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,1.18
EST,EST,2024,6.602,7.383,FO,Fragile Opportunity,0.417,Moderate Potential,0.25,0.468,0.663,0.461,0.732,0.611,0.38,0.709,0.166,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.832,0.77,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.732) and flat trajectory (Pillar D=0.380)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,0.77
BHR,BHR,2024,6.561,7.234,RO,Robust Opportunity,0.5,Moderate Potential,0.25,0.594,0.918,0.565,0.494,0.515,0.578,0.693,0.092,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,6.04,0.521,structural,1.0,"Trajectory supported by governance data (RVS=0.918, Pillar B=0.494)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.521
LKA,Sri Lanka,2024,6.554,7.08,RO,Robust Opportunity,0.494,Moderate Potential,0.45,0.518,0.522,0.568,0.448,0.54,0.43,0.675,0.054,0.0,True,True,Diversified Emerging Market,HIGH,,False,5.928,0.626,structural,1.0,"Trajectory supported by governance data (RVS=0.522, Pillar B=0.448)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.626
NZL,NZL,2024,6.539,7.936,FO,Fragile Opportunity,0.309,Low Takeoff Signal,0.25,0.419,0.276,0.508,0.656,0.654,0.38,0.771,0.121,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.773,0.766,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.656) and flat trajectory (Pillar D=0.380)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,0.766
LUX,LUX,2024,6.537,7.996,FO,Fragile Opportunity,0.345,Low Takeoff Signal,0.25,0.279,0.644,0.501,0.8,0.574,0.479,0.777,0.184,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.939,0.598,structural,1.0,"Trajectory supported by governance data (RVS=0.644, Pillar B=0.800)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.598
PRT,PRT,2024,6.514,8.024,RO,Robust Opportunity,0.289,Low Takeoff Signal,0.25,0.557,0.159,0.52,0.619,0.604,0.546,0.78,0.113,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.755,0.759,structural,1.0,"Trajectory supported by governance data (RVS=0.159, Pillar B=0.619)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.759
RWA,Rwanda,2024,6.499,7.641,RO,Robust Opportunity,0.47,Moderate Potential,0.2,0.621,0.918,0.536,0.466,0.597,0.61,0.738,0.079,0.0,True,True,Diversified Emerging Market,HIGH,,False,6.176,0.323,structural,1.0,"Trajectory supported by governance data (RVS=0.918, Pillar B=0.466)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.323
BTN,BTN,2024,6.494,6.931,RO,Robust Opportunity,0.652,Pre-Breakout Signal,0.438,0.724,0.918,0.665,0.504,0.399,0.658,0.659,0.116,0.0,True,True,Diversified Emerging Market,HIGH,,False,6.406,0.088,structural,1.0,"Trajectory supported by governance data (RVS=0.918, Pillar B=0.504)  classified as structural",market_depth_limited,MEDIUM,(BTN) scores highly on fundamentals but has limited market depth for institutional capital deployment. Score reflects structural quality; investors should apply position size constraints and verify market access before allocation.,True,0.088
TJK,TJK,2024,6.465,7.586,RO,Robust Opportunity,0.471,Moderate Potential,0.2,0.682,0.833,0.647,0.505,0.471,0.618,0.732,0.094,0.0,True,True,High-Growth Emerging Market,HIGH,,False,6.149,0.316,structural,1.0,"Trajectory supported by governance data (RVS=0.833, Pillar B=0.505)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.316
SVK,SVK,2024,6.451,7.275,RO,Robust Opportunity,0.418,Moderate Potential,0.25,0.469,0.663,0.439,0.596,0.635,0.496,0.697,0.115,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.769,0.682,structural,1.0,"Trajectory supported by governance data (RVS=0.663, Pillar B=0.596)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.682
URY,URY,2024,6.424,7.326,FO,Fragile Opportunity,0.424,Moderate Potential,0.2,0.55,0.755,0.488,0.702,0.543,0.466,0.703,0.154,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.824,0.6,structural,1.0,"Trajectory supported by governance data (RVS=0.755, Pillar B=0.702)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.6
IND,India,2024,6.412,6.158,SL,Stable / Low Opportunity,0.453,Moderate Potential,0.2,0.614,0.821,0.584,0.487,0.407,0.568,0.573,0.109,0.0,True,True,High-Growth Emerging Market,HIGH,,False,5.224,1.188,structural,1.0,"Trajectory supported by governance data (RVS=0.821, Pillar B=0.487)  classified as structural",clean,N/A,No universe integrity issues detected.,False,1.188
CAN,CAN,2024,6.391,7.266,RO,Robust Opportunity,0.288,Low Takeoff Signal,0.25,0.441,0.207,0.497,0.603,0.597,0.38,0.696,0.112,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.296,1.095,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.603) and flat trajectory (Pillar D=0.380)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,1.095
MLT,MLT,2024,6.344,9.239,FO,Fragile Opportunity,0.141,Low Takeoff Signal,0.25,0.24,0.039,0.653,0.675,0.757,0.38,0.915,0.083,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.951,0.393,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.675) and flat trajectory (Pillar D=0.380)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,0.393
SRB,SRB,2024,6.289,7.375,RO,Robust Opportunity,0.373,Low Takeoff Signal,0.2,0.496,0.554,0.534,0.469,0.586,0.484,0.708,0.064,0.0,True,True,Diversified Emerging Market,HIGH,,False,5.669,0.62,structural,1.0,"Trajectory supported by governance data (RVS=0.554, Pillar B=0.469)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.62
BEL,BEL,2024,6.266,7.857,FO,Fragile Opportunity,0.204,Low Takeoff Signal,0.25,0.491,0.058,0.519,0.587,0.651,0.38,0.762,0.093,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.349,0.917,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.587) and flat trajectory (Pillar D=0.380)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,0.917
FRA,FRA,2024,6.265,7.314,FO,Fragile Opportunity,0.227,Low Takeoff Signal,0.25,0.415,0.1,0.474,0.546,0.653,0.38,0.702,0.086,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.105,1.16,structural,1.0,"Trajectory supported by governance data (RVS=0.100, Pillar B=0.546)  classified as structural",clean,N/A,No universe integrity issues detected.,False,1.16
ALB,ALB,2024,6.253,7.091,RO,Robust Opportunity,0.458,Moderate Potential,0.2,0.578,0.918,0.576,0.533,0.481,0.536,0.677,0.1,0.0,True,True,Diversified Emerging Market,HIGH,,False,5.803,0.45,structural,1.0,"Trajectory supported by governance data (RVS=0.918, Pillar B=0.533)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.45
MAR,Morocco,2024,6.063,7.056,RO,Robust Opportunity,0.409,Moderate Potential,0.2,0.55,0.667,0.572,0.458,0.519,0.494,0.673,0.068,0.0,True,True,Diversified Emerging Market,HIGH,,False,5.606,0.457,structural,1.0,"Trajectory supported by governance data (RVS=0.667, Pillar B=0.458)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.457
PAN,PAN,2024,6.06,6.805,RO,Robust Opportunity,0.414,Moderate Potential,0.2,0.577,0.657,0.523,0.532,0.492,0.588,0.645,0.116,0.0,True,True,Diversified Emerging Market,HIGH,external_debt_pct_gni,False,5.474,0.586,structural,1.0,"Trajectory supported by governance data (RVS=0.657, Pillar B=0.532)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.586
GEO,GEO,2024,6.01,7.603,RO,Robust Opportunity,0.299,Low Takeoff Signal,0.2,0.645,0.195,0.624,0.52,0.492,0.57,0.734,0.091,0.0,True,True,Diversified Emerging Market,HIGH,,False,5.537,0.473,structural,1.0,"Trajectory supported by governance data (RVS=0.195, Pillar B=0.520)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.473
QAT,QAT,2024,5.943,5.664,SR,Structural Risk,0.526,Moderate Potential,0.25,0.687,0.918,0.554,0.759,0.251,0.693,0.518,0.237,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,5.192,0.751,structural,1.0,"Trajectory supported by governance data (RVS=0.918, Pillar B=0.759)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.751
MNE,MNE,2024,5.907,7.099,RO,Robust Opportunity,0.42,Moderate Potential,0.2,0.543,0.738,0.522,0.445,0.569,0.563,0.678,0.075,0.0,True,True,Diversified Emerging Market,HIGH,,False,5.671,0.236,structural,1.0,"Trajectory supported by governance data (RVS=0.738, Pillar B=0.445)  classified as structural",market_depth_limited,MEDIUM,(MNE) scores highly on fundamentals but has limited market depth for institutional capital deployment. Score reflects structural quality; investors should apply position size constraints and verify market access before allocation.,True,0.236
ARM,ARM,2024,5.899,6.84,RO,Robust Opportunity,0.41,Moderate Potential,0.2,0.678,0.529,0.592,0.482,0.453,0.634,0.649,0.107,0.0,True,True,Diversified Emerging Market,HIGH,,False,5.482,0.417,structural,1.0,"Trajectory supported by governance data (RVS=0.529, Pillar B=0.482)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.417
BRA,Brazil,2024,5.876,6.021,SL,Stable / Low Opportunity,0.349,Low Takeoff Signal,0.2,0.508,0.433,0.48,0.439,0.513,0.53,0.558,0.089,0.0,True,True,Diversified Emerging Market,HIGH,,False,4.77,1.106,structural,1.0,"Trajectory supported by governance data (RVS=0.433, Pillar B=0.439)  classified as structural",clean,N/A,No universe integrity issues detected.,False,1.106
SAU,SAU,2024,5.871,5.276,SR,Structural Risk,0.496,Moderate Potential,0.25,0.582,0.918,0.588,0.661,0.283,0.479,0.475,0.18,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,4.852,1.019,structural,1.0,"Trajectory supported by governance data (RVS=0.918, Pillar B=0.661)  classified as structural",clean,N/A,No universe integrity issues detected.,False,1.019
MUS,MUS,2024,5.822,8.302,FO,Fragile Opportunity,0.167,Low Takeoff Signal,0.2,0.531,0.035,0.498,0.507,0.734,0.484,0.811,0.053,0.0,True,True,Diversified Emerging Market,HIGH,,False,5.482,0.34,structural,1.0,"Trajectory supported by governance data (RVS=0.035, Pillar B=0.507)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.34
MKD,MKD,2024,5.792,7.081,RO,Robust Opportunity,0.355,Low Takeoff Signal,0.2,0.542,0.421,0.546,0.492,0.527,0.525,0.676,0.086,0.0,True,True,Diversified Emerging Market,HIGH,,False,5.425,0.367,structural,1.0,"Trajectory supported by governance data (RVS=0.421, Pillar B=0.492)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.367
